TABLE 10.1 JASON QUESTIONNAIRE                   ZOU968WS.TXT  Mar 05 2026 15:59
INPUT: 247 PERSON  17 ITEM  REPORTED: 246 PERSON  17 ITEM  5 CATS WINSTEPS 5.10.0.0
-----------------------------------------------------------------------------------
PERSON: REAL SEP.: 1.25  REL.: .61 ... ITEM: REAL SEP.: 6.94  REL.: .98
 
         ITEM STATISTICS:  MISFIT ORDER
 
--------------------------------------------------------------------------------------------
|ENTRY   TOTAL  TOTAL    JMLE   MODEL|   INFIT  |  OUTFIT  |PTMEASUR-AL|EXACT MATCH|       |
|NUMBER  SCORE  COUNT  MEASURE  S.E. |MNSQ  ZSTD|MNSQ  ZSTD|CORR.  EXP.| OBS%  EXP%| ITEM  |
|------------------------------------+----------+----------+-----------+-----------+-------|
|     1    688    245     .63     .07|1.53  5.89|1.63  6.83|A .06   .40| 23.3  36.5| Q1SA  |
|     4    813    246     .04     .07|1.29  3.33|1.32  3.57|B .25   .39| 30.5  38.2| Q4SM  |
|    12    961    246    -.79     .08|1.26  2.60|1.23  2.28|C .39   .34| 47.2  51.0| Q12SM |
|     5    794    246     .14     .07|1.24  2.88|1.24  2.83|D .45   .39| 32.5  37.7| Q5RM  |
|    10    805    245     .07     .07|1.09  1.11|1.13  1.56|E .20   .39| 35.9  38.2| Q10SA |
|    14    611    246    1.03     .07|1.10  1.18|1.11  1.34|F .19   .40| 40.2  41.5| Q14SOA|
|     2    732    246     .44     .07|1.08   .99|1.10  1.30|G .43   .40| 33.7  36.1| Q2SM  |
|    11    825    246    -.02     .07|1.02   .30|1.08  1.02|H .13   .38| 39.8  39.7| Q11SA |
|    13    945    246    -.69     .08| .94  -.63| .92  -.84|I .40   .35| 55.3  50.2| Q13RM |
|     3    894    245    -.41     .08| .89 -1.34| .89 -1.22|h .58   .36| 51.4  45.7| Q3RM  |
|    17    938    246    -.65     .08| .89 -1.25| .86 -1.53|g .53   .35| 49.6  49.5| Q17SM |
|     9    782    246     .19     .07| .85 -1.98| .86 -1.78|f .44   .39| 47.6  36.7| Q9SOA |
|     8    837    246    -.08     .07| .84 -1.99| .84 -1.98|e .44   .38| 47.6  40.5| Q8SOA |
|    16    716    246     .51     .07| .82 -2.45| .83 -2.33|d .52   .40| 39.8  36.2| Q16SA |
|     7    860    244    -.24     .07| .75 -3.21| .75 -3.13|c .48   .37| 48.4  42.9| Q7RM  |
|    15    679    245     .68     .07| .73 -3.78| .73 -3.76|b .52   .40| 42.9  36.9| Q15SA |
|     6    953    242    -.85     .08| .66 -4.07| .64 -4.28|a .58   .34| 60.3  51.1| Q6SOA |
|------------------------------------+----------+----------+-----------+-----------+-------|
| MEAN   813.7  245.4     .00     .07|1.00  -.14|1.01  -.01|           | 42.7  41.7|       |
| P.SD   101.7    1.0     .54     .00| .23  2.69| .25  2.86|           |  9.3   5.5|       |
--------------------------------------------------------------------------------------------
 
TABLE 10.3 JASON QUESTIONNAIRE                   ZOU968WS.TXT  Mar 05 2026 15:59
INPUT: 247 PERSON  17 ITEM  REPORTED: 246 PERSON  17 ITEM  5 CATS WINSTEPS 5.10.0.0
-----------------------------------------------------------------------------------
 
         ITEM CATEGORY/OPTION/DISTRACTOR FREQUENCIES:  MISFIT ORDER
 
-----------------------------------------------------------------------------------
|ENTRY   DATA  SCORE |     DATA   |      ABILITY     S.E.  INFT OUTF PTMA |       |
|        5         5 |     10   4 |     .90      .98  .33  1.4  1.4   .21 |       | 5 Strongly agree
|        MISSING *** |      1   0#|                                       |       |
|                    |            |                                       |       |
|    2 G 1         1 |     18   7 |    -.12      .42  .10   .9   .9  -.28 |Q2SM   | 1 Strongly disagree
|        2         2 |     69  28 |     .24      .42  .05  1.1  1.1  -.17 |       | 2 Disagree
|        3         3 |     78  32 |     .37      .47  .05  1.1  1.4  -.01 |       | 3 Neutral
|        4         4 |     63  26 |     .50      .40  .05  1.0  1.0   .15 |       | 4 Agree
|        5         5 |     18   7 |     .96      .60  .15   .9   .9   .33 |       | 5 Strongly agree
|        MISSING *** |      1   0#|                                       |       |
|                    |            |                                       |       |
|   11 H 1         1 |      3   1 |     .25      .16  .11  1.2  1.2  -.03 |Q11SA  | 1 Strongly disagree
|        2         2 |     38  15 |     .21*     .52  .09  1.2  1.2  -.14 |       | 2 Disagree
|        3         3 |     93  38 |     .42      .51  .05  1.4  1.8   .07 |       | 3 Neutral
|        4         4 |     93  38 |     .35*     .41  .04  1.2  1.2  -.03 |       | 4 Agree
|        5         5 |     19   8 |     .62      .70  .17  1.2  1.2   .14 |       | 5 Strongly agree
|        MISSING *** |      1   0#|                                       |       |
|                    |            |                                       |       |
|   13 I 1         1 |      1   0 |    -.47      .00        .7   .7  -.11 |Q13RM  | 1 Strongly disagree
|        2         2 |     21   9 |     .01      .41  .09  1.0  1.0  -.22 |       | 2 Disagree
|        3         3 |     42  17 |     .17      .35  .06   .9   .9  -.18 |       | 3 Neutral
|        4         4 |    134  54 |     .39      .43  .04  1.0  1.0   .03 |       | 4 Agree
|        5         5 |     48  20 |     .69      .62  .09  1.0  1.0   .31 |       | 5 Strongly agree
|        MISSING *** |      1   0#|                                       |       |
|                    |            |                                       |       |
|    3 h 1         1 |      3   1 |    -.61      .41  .29   .7   .6  -.22 |Q3RM   | 1 Strongly disagree
|        2         2 |     32  13 |     .06      .41  .07  1.0  1.0  -.24 |       | 2 Disagree
|        3         3 |     55  22 |     .09      .36  .05   .6   .6  -.31 |       | 3 Neutral
|        4         4 |    113  46 |     .42      .31  .03   .7   .7   .09 |       | 4 Agree
|        5         5 |     42  17 |     .93      .58  .09   .8   .8   .50 |       | 5 Strongly agree
|        MISSING *** |      2   1#|    -.16      .00                 -.07 |       |
|                    |            |                                       |       |
|   17 g 1         1 |      4   2 |    -.36      .52  .30   .9   .9  -.19 |Q17SM  | 1 Strongly disagree
|        2         2 |     16   7 |    -.18      .33  .09   .7   .7  -.29 |       | 2 Disagree
|        3         3 |     52  21 |     .19      .34  .05   .9   .9  -.19 |       | 3 Neutral
|        4         4 |    124  50 |     .37      .36  .03   .9   .8  -.02 |       | 4 Agree
|        5         5 |     50  20 |     .82      .61  .09   .9   .9   .45 |       | 5 Strongly agree
|        MISSING *** |      1   0#|                                       |       |
|                    |            |                                       |       |
|    9 f 1         1 |     10   4 |     .11      .61  .20  1.2  1.2  -.11 |Q9SOA  | 1 Strongly disagree
|        2         2 |     44  18 |     .09*     .45  .07   .9   .9  -.26 |       | 2 Disagree
|        3         3 |     99  40 |     .31      .35  .04   .8   .7  -.10 |       | 3 Neutral
|        4         4 |     78  32 |     .49      .39  .04  1.0  1.0   .16 |       | 4 Agree
|        5         5 |     15   6 |    1.18      .83  .22   .9   .8   .41 |       | 5 Strongly agree
|        MISSING *** |      1   0#|                                       |       |
|                    |            |                                       |       |
|    8 e 1         1 |      8   3 |     .07      .69  .26  1.2  1.3  -.11 |Q8SOA  | 1 Strongly disagree
|        2         2 |     26  11 |    -.08*     .34  .07   .7   .7  -.31 |       | 2 Disagree
|        3         3 |     92  37 |     .30      .33  .03   .9   .8  -.12 |       | 3 Neutral
|        4         4 |     99  40 |     .48      .42  .04  1.0   .9   .18 |       | 4 Agree
|        5         5 |     21   9 |     .88      .83  .19  1.0  1.0   .31 |       | 5 Strongly agree
|        MISSING *** |      1   0#|                                       |       |
|                    |            |                                       |       |
|   16 d 1         1 |     15   6 |    -.02      .52  .14  1.0  1.0  -.20 |Q16SA  | 1 Strongly disagree
|        2         2 |     73  30 |     .16      .40  .05   .9   .9  -.28 |       | 2 Disagree
|        3         3 |     86  35 |     .36      .40  .04  1.0   .9  -.02 |       | 3 Neutral
|        4         4 |     63  26 |     .56      .30  .04   .9   .9   .21 |       | 4 Agree
|        5         5 |      9   4 |    1.64      .74  .26   .6   .6   .49 |       | 5 Strongly agree
|        MISSING *** |      1   0#|                                       |       |
|                    |            |                                       |       |
|    7 c 1         1 |      2   1 |    -.40      .14  .14   .7   .7  -.14 |Q7RM   | 1 Strongly disagree
|        2         2 |     32  13 |    -.08      .43  .08   .8   .8  -.35 |       | 2 Disagree
|        3         3 |     69  28 |     .28      .38  .05  1.0  1.0  -.12 |       | 3 Neutral
|        4         4 |    118  48 |     .48      .45  .04   .9   .9   .20 |       | 4 Agree
|        5         5 |     23   9 |     .83      .57  .12   .9   .9   .29 |       | 5 Strongly agree
|        MISSING *** |      3   1#|     .09      .11  .11            -.05 |       |
|                    |            |                                       |       |
|   15 b 1         1 |     15   6 |    -.06      .55  .15  1.0  1.0  -.22 |Q15SA  | 1 Strongly disagree
|        2         2 |     86  35 |     .16      .39  .04   .9   .9  -.31 |       | 2 Disagree
|        3         3 |     89  36 |     .42      .40  .04   .9   .9   .07 |       | 3 Neutral
|        4         4 |     50  20 |     .66      .42  .06   .9   .8   .29 |       | 4 Agree
|        5         5 |      5   2 |    1.62      .73  .37   .6   .6   .36 |       | 5 Strongly agree
|        MISSING *** |      2   1#|     .15      .00                 -.03 |       |
|                    |            |                                       |       |
|    6 a 1         1 |      1   0 |    -.39      .00        .8   .8  -.10 |Q6SOA  | 1 Strongly disagree
|        2         2 |     12   5 |    -.25      .47  .14   .7   .7  -.28 |       | 2 Disagree
|        3         3 |     36  15 |     .03      .32  .05   .7   .7  -.29 |       | 3 Neutral
|        4         4 |    145  60 |     .35      .34  .03   .7   .6  -.06 |       | 4 Agree
|        5         5 |     48  20 |     .88      .58  .08   .8   .8   .50 |       | 5 Strongly agree
|        MISSING *** |      5   2#|     .49      .41  .24             .03 |       |
-----------------------------------------------------------------------------------
 * Average ability does not ascend with category score
 # Missing % includes all categories. Scored % only of scored categories
 
TABLE 10.4 JASON QUESTIONNAIRE                   ZOU968WS.TXT  Mar 05 2026 15:59
INPUT: 247 PERSON  17 ITEM  REPORTED: 246 PERSON  17 ITEM  5 CATS WINSTEPS 5.10.0.0
-----------------------------------------------------------------------------------
 
MOST MISFITTING RESPONSE STRINGS
         |PERSON
         |1111   1221 11  1211    1      1 211  122   1112 2
         |54254238135 3284349876434521 345 3678231436 900112
OUTMNSQ  |43320006098639678185195773795169931278680664092781  ITEM
      high--------------------------------------------------
   1.63 A|1..1..111...1..........5.1.........5.....54..44.54  1 Q1SA
   1.32 B|.....22....2..............1.111...5.........5.....  4 Q4SM
   1.23 C|..........1....2...2.2.2............1...1.......1. 12 Q12SM
   1.24 D|.................11.1..1...........5.........55...  5 Q5RM
   1.13 E|.33.............1........1........51.............. 10 Q10SA
   1.11 F|......1..5..5..................5.55..5.54.4......3 14 Q14SOA
   1.10 G|.33..2...................5..1..1..................  2 Q2SM
   1.08 H|.3332....................1..................5..5.4 11 Q11SA
    .92 I|.............22............2..................1... 13 Q13RM
    .89 h|.........2.2.....2......2.........................  3 Q3RM
    .86 g|......................2..........1....1....1....5. 17 Q17SM
    .86 f|....2.1.......1.........1........5................  9 Q9SOA
    .84 e|......1.....1...........1..................5......  8 Q8SOA
    .83 d|........1.1....................................... 16 Q16SA
    .73 b|........1.1...........1........................... 15 Q15SA
    .64 a|.............................. .2.2........1......  6 Q6SOA
         |--------------------------------------------------low
         |11114231221611841211764315215341921182122364111212
         |54250008135 3267349819574379 165 3677831466 900182
         |4332   6098 39  8185    7      9 312  680   0927 1
 
TABLE 10.5 JASON QUESTIONNAIRE                   ZOU968WS.TXT  Mar 05 2026 15:59
INPUT: 247 PERSON  17 ITEM  REPORTED: 246 PERSON  17 ITEM  5 CATS WINSTEPS 5.10.0.0
-----------------------------------------------------------------------------------
 
MOST UNEXPECTED RESPONSES
         |PERSON
         |1111   1221 11  1211    1      1 211  122   1112 2
         |54254238135 3284349876434521 345 3678231436 900112
MEASURE  |43320006098639678185195773795169931278680664092781  ITEM
      high--------------------------------------------------
   -.85 a|.............................. .2.2........1......  6 Q6SOA
   -.79 C|..........1....2...2.2.2............1...1.......1. 12 Q12SM
   -.69 I|.............22............2..................1... 13 Q13RM
   -.65 g|......................2..........1....1....1....5. 17 Q17SM
   -.41 h|.........2.2.....2......2.........................  3 Q3RM
   -.08 e|......1.....1...........1..................5......  8 Q8SOA
   -.02 H|.3332....................1..................5..5.4 11 Q11SA
    .04 B|.....22....2..............1.111...5.........5.....  4 Q4SM
    .07 E|.33.............1........1........51.............. 10 Q10SA
    .14 D|.................11.1..1...........5.........55...  5 Q5RM
    .19 f|....2.1.......1.........1........5................  9 Q9SOA
    .44 G|.33..2...................5..1..1..................  2 Q2SM
    .51 d|........1.1....................................... 16 Q16SA
    .63 A|1..1..111...1..........5.1.........5.....54..44.54  1 Q1SA
    .68 b|........1.1...........1........................... 15 Q15SA
   1.03 F|......1..5..5..................5.55..5.54.4......3 14 Q14SOA
         |--------------------------------------------------low
         |11114231221611841211764315215341921182122364111212
         |54250008135 3267349819574379 165 3677831466 900182
         |4332   6098 39  8185    7      9 312  680   0927 1
 
TABLE 10.6 JASON QUESTIONNAIRE                   ZOU968WS.TXT  Mar 05 2026 15:59
INPUT: 247 PERSON  17 ITEM  REPORTED: 246 PERSON  17 ITEM  5 CATS WINSTEPS 5.10.0.0
-----------------------------------------------------------------------------------
 
MOST UNEXPECTED RESPONSES
 
---------------------------------------------------------------------------------------
| DATA |OBSERVED|EXPECTED|RESIDUAL|ST. RES.|MEASDIFF| ITEM  | PERSON | ITEM   | PERSON|
|------+--------+--------+--------+--------+--------+-------+--------+--------+-------|
|    1 |      1 |   4.39 |  -3.39 |  -5.29 |   2.06 |     1 |    154 | Q1SA   | P154  |
|    1 |      1 |   4.21 |  -3.21 |  -4.59 |   1.67 |    12 |    158 | Q12SM  | P158  |
|    1 |      1 |   4.00 |  -3.00 |  -3.93 |   1.27 |     1 |    152 | Q1SA   | P152  |
|    1 |      1 |   3.97 |  -2.97 |  -3.85 |   1.22 |     8 |     30 | Q8SOA  | P030  |
|    5 |      5 |   1.98 |   3.02 |   3.80 |  -1.32 |     1 |     18 | Q1SA   | P018  |
|    5 |      5 |   2.05 |   2.95 |   3.62 |  -1.21 |    14 |    218 | Q14SOA | P218  |
|    1 |      1 |   3.79 |  -2.79 |  -3.41 |    .95 |     9 |     30 | Q9SOA  | P030  |
|    5 |      5 |   2.15 |   2.85 |   3.39 |  -1.07 |    14 |     28 | Q14SOA | P028  |
|    1 |      1 |   3.76 |  -2.76 |  -3.33 |    .90 |    17 |    233 | Q17SM  | P233  |
|    4 |      4 |   1.71 |   2.29 |   3.26 |  -1.81 |     1 |    221 | Q1SA   | P221  |
|    5 |      5 |   2.25 |   2.75 |   3.17 |   -.93 |    14 |    161 | Q14SOA | P161  |
|    1 |      1 |   3.68 |  -2.68 |  -3.17 |    .79 |     8 |    133 | Q8SOA  | P133  |
|    1 |      1 |   3.66 |  -2.66 |  -3.12 |    .76 |    12 |     87 | Q12SM  | P087  |
|    5 |      5 |   2.28 |   2.72 |   3.11 |   -.89 |     1 |     36 | Q1SA   | P036  |
|    5 |      5 |   2.37 |   2.63 |   2.96 |   -.78 |    14 |    233 | Q14SOA | P233  |
|    2 |      2 |   4.13 |  -2.13 |  -2.93 |   1.50 |    12 |     47 | Q12SM  | P047  |
|    5 |      5 |   2.42 |   2.58 |   2.86 |   -.71 |    14 |    159 | Q14SOA | P159  |
|    1 |      1 |   3.51 |  -2.51 |  -2.84 |    .56 |    10 |    138 | Q10SA  | P138  |
|    1 |      1 |   3.51 |  -2.51 |  -2.83 |    .55 |     8 |    147 | Q8SOA  | P147  |
|    1 |      1 |   3.50 |  -2.50 |  -2.82 |    .54 |    12 |    240 | Q12SM  | P240  |
|    1 |      1 |   3.50 |  -2.50 |  -2.81 |    .54 |    17 |    136 | Q17SM  | P136  |
|    5 |      5 |   2.47 |   2.53 |   2.79 |   -.66 |     1 |    172 | Q1SA   | P172  |
|    2 |      2 |   4.07 |  -2.07 |  -2.79 |   1.40 |    13 |    129 | Q13RM  | P129  |
|    2 |      2 |   4.07 |  -2.07 |  -2.79 |   1.40 |    13 |     86 | Q13RM  | P086  |
|    1 |      1 |   3.48 |  -2.48 |  -2.77 |    .51 |     9 |     86 | Q9SOA  | P086  |
|    1 |      1 |   3.47 |  -2.47 |  -2.76 |    .50 |     1 |     30 | Q1SA   | P030  |
|    1 |      1 |   3.46 |  -2.46 |  -2.75 |    .49 |    11 |     53 | Q11SA  | P053  |
|    3 |      3 |   4.56 |  -1.56 |  -2.74 |   2.53 |    11 |    143 | Q11SA  | P143  |
|    3 |      3 |   4.56 |  -1.56 |  -2.74 |   2.53 |    11 |    123 | Q11SA  | P123  |
|    2 |      2 |   4.05 |  -2.05 |  -2.73 |   1.35 |    11 |     40 | Q11SA  | P040  |
|    5 |      5 |   2.51 |   2.49 |   2.72 |   -.60 |     5 |    109 | Q5RM   | P109  |
|    5 |      5 |   2.51 |   2.49 |   2.72 |   -.60 |     5 |    102 | Q5RM   | P102  |
|    2 |      2 |   4.04 |  -2.04 |  -2.71 |   1.34 |    12 |    185 | Q12SM  | P185  |
|    2 |      2 |   4.04 |  -2.04 |  -2.71 |   1.34 |    12 |     69 | Q12SM  | P069  |
|    2 |      2 |   4.04 |  -2.04 |  -2.71 |   1.34 |    12 |     37 | Q12SM  | P037  |
|    1 |      1 |   3.43 |  -2.43 |  -2.70 |    .45 |     6 |      4 | Q6SOA  | P004  |
|    4 |      4 |   1.92 |   2.08 |   2.69 |  -1.43 |    14 |     66 | Q14SOA | P066  |
|    1 |      1 |   3.42 |  -2.42 |  -2.68 |    .44 |    16 |    210 | Q16SA  | P210  |
|    1 |      1 |   3.41 |  -2.41 |  -2.67 |    .43 |     4 |     27 | Q4SM   | P027  |
|    1 |      1 |   3.41 |  -2.41 |  -2.67 |    .43 |     4 |      5 | Q4SM   | P005  |
|    1 |      1 |   3.40 |  -2.40 |  -2.64 |    .41 |     5 |    241 | Q5RM   | P241  |
|    1 |      1 |   3.40 |  -2.40 |  -2.64 |    .41 |     5 |    198 | Q5RM   | P198  |
|    1 |      1 |   3.40 |  -2.40 |  -2.64 |    .41 |     5 |     71 | Q5RM   | P071  |
|    1 |      1 |   3.40 |  -2.40 |  -2.64 |    .41 |     5 |     37 | Q5RM   | P037  |
|    1 |      1 |   3.39 |  -2.39 |  -2.64 |    .41 |     1 |    186 | Q1SA   | P186  |
|    1 |      1 |   3.39 |  -2.39 |  -2.63 |    .41 |    10 |     53 | Q10SA  | P053  |
|    2 |      2 |   4.00 |  -2.00 |  -2.63 |   1.28 |     3 |    239 | Q3RM   | P239  |
|    2 |      2 |   4.00 |  -2.00 |  -2.63 |   1.28 |     3 |      6 | Q3RM   | P006  |
|    3 |      3 |   4.53 |  -1.53 |  -2.63 |   2.45 |    10 |    143 | Q10SA  | P143  |
|    3 |      3 |   4.53 |  -1.53 |  -2.63 |   2.45 |    10 |    123 | Q10SA  | P123  |
---------------------------------------------------------------------------------------
